y;moment;shear;torsion;;
0;316831.1274;-121486.7246;78803.86351;;
0.0157125;314925.8753;-121027.5407;78470.68651;;
0.031425;313027.8347;-120568.7943;78138.20869;;
0.0471375;311136.9986;-120110.487;77806.43021;;
0.06285;309253.3603;-119652.6203;77475.35122;;
0.0785625;307376.9127;-119195.196;77144.97189;;
0.094275;305507.6489;-118738.2156;76815.29237;;
0.1099875;303645.562;-118281.6807;76486.31282;;
0.1257;301790.6448;-117825.593;76158.03338;;
0.1414125;299942.8904;-117369.9542;75830.45419;;
0.157125;298102.2916;-116914.7657;75503.5754;;
0.1728375;296268.8415;-116460.0292;75177.39714;;
0.18855;294442.5328;-116005.7464;74851.91953;;
0.2042625;292623.3585;-115551.9189;74527.14272;;
0.219975;290811.3114;-115098.5483;74203.06681;;
0.2356875;289006.3842;-114645.6362;73879.69194;;
0.2514;287208.5699;-114193.1843;73557.01822;;
0.2671125;285417.861;-113741.1941;73235.04575;;
0.282825;283634.2504;-113289.6673;72913.77465;;
0.2985375;281857.7308;-112838.6055;72593.20502;;
0.31425;280088.2948;-112388.0103;72273.33697;;
0.3299625;278325.9351;-111937.8835;71954.17059;;
0.345675;276570.6443;-111488.2265;71635.70597;;
0.3613875;274822.4151;-111039.041;71317.9432;;
0.3771;273081.24;-110590.3286;71000.88238;;
0.3928125;271347.1115;-110142.0911;70684.52357;;
0.408525;269620.0223;-109694.3299;70368.86687;;
0.4242375;267899.9647;-109247.0468;70053.91234;;
0.43995;266186.9313;-108800.2433;69739.66005;;
0.4556625;264480.9146;-108353.9211;69426.11008;;
0.471375;262781.9068;-107908.0819;69113.26249;;
0.4870875;261089.9005;-107462.7272;68801.11733;;
0.5028;259404.8881;-107017.8586;68489.67467;;
0.5185125;257726.8618;-106573.4779;68178.93455;;
0.534225;256055.814;-106129.5867;67868.89703;;
0.5499375;254391.7369;-105686.1866;67559.56216;;
0.56565;252734.623;-105243.2792;67250.92997;;
0.5813625;251084.4643;-104800.8661;66943.00051;;
0.597075;249441.2532;-104358.9491;66635.7738;;
0.6127875;247804.9817;-103917.5297;66329.24989;;
0.6285;246175.6422;-103476.6097;66023.4288;;
0.6442125;244553.2266;-103036.1905;65718.31055;;
0.659925;242937.7273;-102596.274;65413.89517;;
0.6756375;241329.1361;-102156.8617;65110.18267;;
0.69135;239727.4452;-101717.9552;64807.17308;;
0.7070625;238132.6467;-101279.5563;64504.86639;;
0.722775;236544.7325;-100841.6666;64203.26262;;
0.7384875;234963.6946;-100404.2877;63902.36177;;
