y [m],Bending Moment [Nm]
0,148024.5386
0.0157125,146855.4573
0.031425,145693.5875
0.0471375,144538.9224
0.06285,143391.4549
0.0785625,142251.1781
0.094275,141118.0852
0.1099875,139992.1691
0.1257,138873.4228
0.1414125,137761.8392
0.157125,136657.4113
0.1728375,135560.132
0.18855,134469.9942
0.2042625,133386.9907
0.219975,132311.1144
0.2356875,131242.3581
0.2514,130180.7146
0.2671125,129126.1766
0.282825,128078.7369
0.2985375,127038.3881
0.31425,126005.1229
0.3299625,124978.9341
0.345675,123959.8142
0.3613875,122947.7558
0.3771,121942.7515
0.3928125,120944.7939
0.408525,119953.8755
0.4242375,118969.9888
0.43995,117993.1263
0.4556625,117023.2803
0.471375,116060.4435
0.4870875,115104.608
0.5028,114155.7664
0.5185125,113213.911
0.534225,112279.034
0.5499375,111351.1278
0.56565,110430.1847
0.5813625,109516.1969
0.597075,108609.1566
0.6127875,107709.056
0.6285,106815.8873
0.6442125,105929.6426
0.659925,105050.3141
0.6756375,104177.8938
0.69135,103312.3738
0.7070625,102453.7461
0.722775,101602.0027
0.7384875,100757.1357
0.7542,99919.137
0.7699125,99087.99851
0.785625,98263.71216
0.8013375,97446.26982
0.81705,96635.66336
0.8327625,95831.8846
0.848475,95034.92536
0.8641875,94244.7774
0.8799,93461.43248
0.8956125,92684.88232
0.911325,91915.11863
0.9270375,91152.13308
0.94275,90395.91732
0.9584625,89646.46296
0.974175,88903.76161
0.9898875,88167.80482
1.0056,87438.58415
1.0213125,86716.0911
1.037025,86000.31717
1.0527375,85291.25381
1.06845,84588.89247
1.0841625,83893.22456
1.099875,83204.24145
1.1155875,82521.9345
1.1313,81846.29504
1.1470125,81177.31438
1.162725,80514.98379
1.1784375,79859.29452
1.19415,79210.23779
1.2098625,78567.8048
1.225575,77931.98671
1.2412875,77302.77468
1.257,76680.1598
1.2727125,76064.13318
1.288425,75454.68587
1.3041375,74851.80891
1.31985,74255.49329
1.325742074,74033.56896
1.3355625,73665.82236
1.351275,73083.75483
1.3669875,72509.63992
1.3827,71943.46853
1.3984125,71385.23153
1.405532065,71134.81154
1.414125,70834.16256
1.4298375,70288.63479
1.44555,69748.55901
1.4612625,69213.9303
1.476975,68684.74368
1.4926875,68160.99419
1.5084,67642.67681
1.5241125,67129.78649
1.539825,66622.31817
1.5555375,66120.26676
1.57125,65623.62712
1.5869625,65132.39411
1.602675,64646.56255
1.6183875,64166.12722
1.6341,63691.0829
1.6498125,63221.42432
1.665525,62757.14618
1.6812375,62298.24317
1.69695,61844.70993
1.7126625,61396.54109
1.728375,60953.73124
1.7440875,60516.27495
1.7598,60084.16675
1.7755125,59657.40115
1.791225,59235.97263
1.8069375,58819.87564
1.82265,58409.1046
1.8383625,58003.6539
1.854075,57603.51791
1.8697875,57208.69096
1.8855,56819.16736
1.9012125,56434.94137
1.916925,56056.00726
1.9326375,55682.35923
1.94835,55313.99147
1.9640625,54950.89814
1.979775,54593.07337
1.9954875,54240.51126
2.0112,53893.20588
2.0269125,53551.15126
2.042625,53214.34142
2.0583375,52882.77033
2.07405,52556.43194
2.0897625,52235.32018
2.105475,51919.42893
2.1211875,51608.75205
2.1369,51303.28336
2.1526125,51003.01668
2.168325,50707.94575
2.1840375,50418.06432
2.19975,50133.3661
2.2154625,49853.84475
2.231175,49579.49393
2.2468875,49310.30724
2.2626,49046.27827
2.2783125,48787.40056
2.294025,48533.66763
