y [m],Shear Force [N],Shear Force [N]
0,74634.16456,-74634.16456
0.0157125,74174.9807,-74174.9807
0.031425,73716.23429,-73716.23429
0.0471375,73257.92696,-73257.92696
0.06285,72800.06031,-72800.06031
0.0785625,72342.63598,-72342.63598
0.094275,71885.65558,-71885.65558
0.1099875,71429.12073,-71429.12073
0.1257,70973.03305,-70973.03305
0.1414125,70517.39416,-70517.39416
0.157125,70062.20568,-70062.20568
0.1728375,69607.46924,-69607.46924
0.18855,69153.18645,-69153.18645
0.2042625,68699.35893,-68699.35893
0.219975,68245.98831,-68245.98831
0.2356875,67793.07622,-67793.07622
0.2514,67340.62426,-67340.62426
0.2671125,66888.63408,-66888.63408
0.282825,66437.10728,-66437.10728
0.2985375,65986.04549,-65986.04549
0.31425,65535.45034,-65535.45034
0.3299625,65085.32346,-65085.32346
0.345675,64635.66646,-64635.66646
0.3613875,64186.48099,-64186.48099
0.3771,63737.76865,-63737.76865
0.3928125,63289.53109,-63289.53109
0.408525,62841.76992,-62841.76992
0.4242375,62394.48679,-62394.48679
0.43995,61947.68331,-61947.68331
0.4556625,61501.36112,-61501.36112
0.471375,61055.52186,-61055.52186
0.4870875,60610.16715,-60610.16715
0.5028,60165.29863,-60165.29863
0.5185125,59720.91794,-59720.91794
0.534225,59277.0267,-59277.0267
0.5499375,58833.62656,-58833.62656
0.56565,58390.71916,-58390.71916
0.5813625,57948.30612,-57948.30612
0.597075,57506.3891,-57506.3891
0.6127875,57064.96973,-57064.96973
0.6285,56624.04966,-56624.04966
0.6442125,56183.63053,-56183.63053
0.659925,55743.71398,-55743.71398
0.6756375,55304.30166,-55304.30166
0.69135,54865.39522,-54865.39522
0.7070625,54426.99631,-54426.99631
0.722775,53989.10657,-53989.10657
0.7384875,53551.72766,-53551.72766
0.7542,53114.86123,-53114.86123
0.7699125,52678.50893,-52678.50893
0.785625,52242.67243,-52242.67243
0.8013375,51807.35337,-51807.35337
0.81705,51372.55342,-51372.55342
0.8327625,50938.27424,-50938.27424
0.848475,50504.51749,-50504.51749
0.8641875,50071.28483,-50071.28483
0.8799,49638.57794,-49638.57794
0.8956125,49206.39847,-49206.39847
0.911325,48774.74809,-48774.74809
0.9270375,48343.62849,-48343.62849
0.94275,47913.04132,-47913.04132
0.9584625,47482.98827,-47482.98827
0.974175,47053.47101,-47053.47101
0.9898875,46624.49122,-46624.49122
1.0056,46196.05059,-46196.05059
1.0213125,45768.15078,-45768.15078
1.037025,45340.7935,-45340.7935
1.0527375,44913.98042,-44913.98042
1.06845,44487.71323,-44487.71323
1.0841625,44061.99363,-44061.99363
1.099875,43636.82331,-43636.82331
1.1155875,43212.20397,-43212.20397
1.1313,42788.1373,-42788.1373
1.1470125,42364.625,-42364.625
1.162725,41941.66878,-41941.66878
1.1784375,41519.27034,-41519.27034
1.19415,41097.43138,-41097.43138
1.2098625,40676.15363,-40676.15363
1.225575,40255.43879,-40255.43879
1.2412875,39835.28857,-39835.28857
1.257,39415.7047,-39415.7047
1.2727125,38996.6889,-38996.6889
1.288425,38578.24288,-38578.24288
1.3041375,38160.36837,-38160.36837
1.31985,37743.06711,-37743.06711
1.325742074,37586.73024,-37586.73024
1.3355625,37298.13011,-37298.13011
1.351275,36791.70759,-36791.70759
1.3669875,36285.86352,-36285.86352
1.3827,35780.59964,-35780.59964
1.3984125,35275.91768,-35275.91768
1.405532065,35082.92319,-35082.92319
1.414125,34892.94532,-34892.94532
1.4298375,34545.80467,-34545.80467
1.44555,34198.97688,-34198.97688
1.4612625,33852.46371,-33852.46371
1.476975,33506.26691,-33506.26691
1.4926875,33160.38825,-33160.38825
1.5084,32814.8295,-32814.8295
1.5241125,32469.59242,-32469.59242
1.539825,32124.67878,-32124.67878
1.5555375,31780.09036,-31780.09036
1.57125,31435.82893,-31435.82893
1.5869625,31091.89629,-31091.89629
1.602675,30748.29421,-30748.29421
1.6183875,30405.02449,-30405.02449
1.6341,30062.08891,-30062.08891
1.6498125,29719.48929,-29719.48929
1.665525,29377.2274,-29377.2274
1.6812375,29035.30507,-29035.30507
1.69695,28693.7241,-28693.7241
1.7126625,28352.4863,-28352.4863
1.728375,28011.59349,-28011.59349
1.7440875,27671.04748,-27671.04748
1.7598,27330.85011,-27330.85011
1.7755125,26991.00319,-26991.00319
1.791225,26651.50857,-26651.50857
1.8069375,26312.36808,-26312.36808
1.82265,25973.58356,-25973.58356
1.8383625,25635.15686,-25635.15686
1.854075,25297.08983,-25297.08983
1.8697875,24959.38431,-24959.38431
1.8855,24622.04217,-24622.04217
1.9012125,24285.06528,-24285.06528
1.916925,23948.45549,-23948.45549
1.9326375,23612.21469,-23612.21469
1.94835,23276.34475,-23276.34475
1.9640625,22940.84755,-22940.84755
1.979775,22605.72499,-22605.72499
1.9954875,22270.97894,-22270.97894
2.0112,21936.61131,-21936.61131
2.0269125,21602.624,-21602.624
2.042625,21269.01892,-21269.01892
2.0583375,20935.79797,-20935.79797
2.07405,20602.96309,-20602.96309
2.0897625,20270.51618,-20270.51618
2.105475,19938.45918,-19938.45918
