y [m],Total Torsion [Nm]
0,6308.055496
0.0157125,6317.275982
0.031425,6326.546633
0.0471375,6335.86744
0.06285,6345.238393
0.0785625,6354.659482
0.094275,6364.130697
0.1099875,6373.652029
0.1257,6383.223468
0.1414125,6392.845006
0.157125,6402.516634
0.1728375,6412.238344
0.18855,6422.010127
0.2042625,6431.831976
0.219975,6441.703883
0.2356875,6451.62584
0.2514,6461.59784
0.2671125,6471.619877
0.282825,6481.691943
0.2985375,6491.814031
0.31425,6501.986137
0.3299625,6512.208252
0.345675,6522.480373
0.3613875,6532.802493
0.3771,6543.174606
0.3928125,6553.596708
0.408525,6564.068794
0.4242375,6574.590858
0.43995,6585.162897
0.4556625,6595.784907
0.471375,6606.456882
0.4870875,6617.178821
0.5028,6627.950718
0.5185125,6638.77257
0.534225,6649.644375
0.5499375,6660.56613
0.56565,6671.537831
0.5813625,6682.559476
0.597075,6693.631064
0.6127875,6704.752592
0.6285,6715.924058
0.6442125,6727.14546
0.659925,6738.416798
0.6756375,6749.73807
0.69135,6761.109275
0.7070625,6772.530412
0.722775,6784.001481
0.7384875,6795.522481
0.7542,6807.093412
0.7699125,6818.714275
0.785625,6830.385069
0.8013375,6842.105796
0.81705,6853.876455
0.8327625,6865.697048
0.848475,6877.567576
0.8641875,6889.488039
0.8799,6901.458441
0.8956125,6913.478782
0.911325,6925.549064
0.9270375,6937.669289
0.94275,6949.83946
0.9584625,6962.059579
0.974175,6974.329649
0.9898875,6986.649673
1.0056,6999.019654
1.0213125,7011.439595
1.037025,7023.909499
1.0527375,7036.429372
1.06845,7048.999215
1.0841625,7061.619034
1.099875,7074.288832
1.1155875,7087.008615
1.1313,7099.778386
1.1470125,7112.598151
1.162725,7125.467915
1.1784375,7138.387682
1.19415,7151.357459
1.2098625,7164.377251
1.225575,7177.447063
1.2412875,7190.566902
1.257,7203.736774
1.2727125,7216.956686
1.288425,7230.226642
1.3041375,7243.546652
1.31985,7256.916721
1.325742074,7261.951199
1.3355625,7273.971239
1.351275,7293.17274
1.3669875,7312.33089
1.3827,7331.445696
1.3984125,7350.517166
1.405532065,7359.141252
1.414125,7367.117111
1.4298375,7381.884524
1.44555,7396.99002
1.4612625,7412.432293
1.476975,7428.210038
1.4926875,7444.321949
1.5084,7460.76672
1.5241125,7477.543046
1.539825,7494.649622
1.5555375,7512.085144
1.57125,7529.848305
1.5869625,7547.937803
1.602675,7566.352333
1.6183875,7585.09059
1.6341,7604.15127
1.6498125,7623.533069
1.665525,7643.234685
1.6812375,7663.254812
1.69695,7683.592149
1.7126625,7704.245391
1.728375,7725.213235
1.7440875,7746.494379
1.7598,7768.087521
1.7755125,7789.991357
1.791225,7812.204585
1.8069375,7834.725903
1.82265,7857.554008
1.8383625,7880.6876
1.854075,7904.125376
1.8697875,7927.866035
1.8855,7951.908274
1.9012125,7976.250794
1.916925,8000.892293
1.9326375,8025.83147
1.94835,8051.067024
1.9640625,8076.597655
1.979775,8102.422061
1.9954875,8128.538944
2.0112,8154.947002
2.0269125,8181.644936
2.042625,8208.631445
2.0583375,8235.905231
2.07405,8263.464994
2.0897625,8291.309433
2.105475,8319.43725
2.1211875,8347.847146
2.1369,8376.537823
2.1526125,8405.50798
2.168325,8434.756319
2.1840375,8464.281543
2.19975,8494.082351
2.2154625,8524.157448
2.231175,8554.505533
2.2468875,8585.12531
2.2626,8616.01548
2.2783125,8647.174747
2.294025,8678.601811
2.3097375,8710.295377
2.32545,8742.254147
2.3411625,8774.476823
2.356875,8806.962109
2.3725875,8839.708708
2.3883,8872.715323
